source_dataset,comparison,r2_delta
Leeds_PAEK_Tg_novel,family_size_plus_MS_count_minus_family_size,0.39305143886535077
Leeds_PAEK_Tg_novel,family_size_plus_MS_density_minus_family_size,0.6449713032785899
Leeds_PAEK_Tg_novel,generic_rdkit_small_minus_family_size,0.7594456918702985
Leeds_PAEK_Tg_novel,MS_density_retained_fraction_of_generic_gain,0.8492658661216567
RAK2315_small_molecule_offtarget,family_size_plus_MS_count_minus_family_size,0.003945879822376042
RAK2315_small_molecule_offtarget,family_size_plus_MS_density_minus_family_size,0.017035449182937867
RAK2315_small_molecule_offtarget,generic_rdkit_small_minus_family_size,0.10757367474910728
RAK2315_small_molecule_offtarget,MS_density_retained_fraction_of_generic_gain,0.15836076273000277
ViditAg_monomer_PPD_proxy_novel,family_size_plus_MS_count_minus_family_size,0.13739759420975328
ViditAg_monomer_PPD_proxy_novel,family_size_plus_MS_density_minus_family_size,0.15958333028524851
ViditAg_monomer_PPD_proxy_novel,generic_rdkit_small_minus_family_size,0.1720265842021469
ViditAg_monomer_PPD_proxy_novel,MS_density_retained_fraction_of_generic_gain,0.9276666802714839
