row_index,PSMILES,normalized_PSMILES_for_current_gate,Exp_Tg_K,source,polymer_class,reliability,current_pmsbp_density,representation_class,support_status,support_error
0,[*]#C[SiH2]C#Cc1cccc(C#[*])c1,*#C[SiH2]C#Cc1cccc(C#*)c1,345.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
1,[*]#Cc1cccc(C#C[SiH](C#[*])c2ccccc2)c1,*#Cc1cccc(C#C[SiH](C#*)c2ccccc2)c1,358.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
2,[*]#Cc1ccccc1C#C[SiH](C#[*])c1ccccc1,*#Cc1ccccc1C#C[SiH](C#*)c1ccccc1,344.15,GREA,Polysiloxanes,black,,,unsupported,ValueError
3,[*]/C(=C(/[*])c1ccc(C(C)(C)C)cc1)c1ccccc1,*/C(=C(/*)c1ccc(C(C)(C)C)cc1)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
4,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,*/C(=C(/*)c1ccc(CCCC)cc1)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
5,[*]/C(=C(/[*])c1ccc(Oc2ccccc2)cc1)c1ccccc1,*/C(=C(/*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
6,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,*/C(=C(/*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,523.15,GREA,Polyvinyls,black,,,unsupported,ValueError
7,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
8,[*]/C(=C(/[*])c1cccc([Ge](C)(C)C)c1)c1ccccc1,*/C(=C(/*)c1cccc([Ge](C)(C)C)c1)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
9,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
10,[*]/C(C#N)=C/c1cc(C=C(C#N)c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc([*])ccc2-3)cc(N(c2ccccc2)c2ccccc2)c1,*/C(C#N)=C/c1cc(C=C(C#N)c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc(*)ccc2-3)cc(N(c2ccccc2)c2ccccc2)c1,409.15,GREA,Polyphenylenes,black,,,unsupported,ValueError
11,[*]/C(C)=C(/[*])CCC,*/C(C)=C(/*)CCC,473.15,GREA,Polydienes,black,,,unsupported,ValueError
12,[*]/C(C)=C(/[*])CCCCC,*/C(C)=C(/*)CCCCC,453.15,GREA,Polydienes,black,,,unsupported,ValueError
13,[*]/C(C)=C(/[*])CCCCCCC,*/C(C)=C(/*)CCCCCCC,433.15,GREA,Polydienes,black,,,unsupported,ValueError
14,[*]/C(C)=C(/[*])SCC,*/C(C)=C(/*)SCC,433.15,GREA,Polyvinyls,black,,,unsupported,ValueError
15,[*]/C(C)=C(/[*])SCCCCCC,*/C(C)=C(/*)SCCCCCC,383.15,GREA,Polyvinyls,black,,,unsupported,ValueError
16,[*]/C(C)=C(/[*])SCCCCCCCCCC,*/C(C)=C(/*)SCCCCCCCCCC,333.15,GREA,Polyvinyls,black,,,unsupported,ValueError
17,[*]/C(C)=C(/[*])[Ge](C)(C)C,*/C(C)=C(/*)[Ge](C)(C)C,523.15,GREA,Polyvinyls,black,,,unsupported,ValueError
18,[*]/C(C)=C(/[*])[Si](C)(C)C,*/C(C)=C(/*)[Si](C)(C)C,348.15,GREA,Polyvinyls,black,,,unsupported,ValueError
19,[*]/C(C)=C(/[*])[Si](C)(C)CCCCCC,*/C(C)=C(/*)[Si](C)(C)CCCCCC,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
20,[*]/C(C)=C(/[*])[Si](C)(C)CC[Si](C)(C)C,*/C(C)=C(/*)[Si](C)(C)CC[Si](C)(C)C,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
21,[*]/C(C)=C(/[*])[Si](C)(C)C[Si](C)(C)C,*/C(C)=C(/*)[Si](C)(C)C[Si](C)(C)C,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
22,[*]/C(C)=C(/[*])c1ccc([Si](C)(C)C)cc1,*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1,268.15,GREA,Polyvinyls,black,,,unsupported,ValueError
23,[*]/C(CC)=C(/[*])c1ccccc1,*/C(CC)=C(/*)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
24,[*]/C(CCCCCC)=C(/[*])c1ccccc1,*/C(CCCCCC)=C(/*)c1ccccc1,473.15,GREA,Polyvinyls,black,,,unsupported,ValueError
25,[*]/C(Cl)=C(/[*])CCCC,*/C(Cl)=C(/*)CCCC,463.15,GREA,Polyvinyls,black,,,unsupported,ValueError
