polymer_class,n_rows,n_representation_classes,spearman_rho,pmsbp_min,pmsbp_max,tg_k_median
Polyimides,1765,1643,-0.06342936321051464,-0.9939024390243902,-0.8888888888888888,520.15
Polyoxides,1748,1637,-0.44968364116645915,-0.9907407407407407,-0.5,423.15
Polyesters,660,552,-0.31819496248947665,-0.9895833333333334,-0.75,345.65
Polyacrylics,617,476,-0.02969364926171914,-0.9859154929577465,-0.8,333.15
Polyamides,486,419,-0.5331812705254017,-0.9888888888888889,-0.8,423.15
Polyimines,265,234,-0.6135668949822297,-0.9873417721518988,-0.6666666666666666,415.15
Polyvinyls,254,185,0.09393572844593402,-0.9880952380952381,-0.5,335.275
Polystyrenes,241,141,0.13317225565681673,-0.9857142857142858,-0.5,372.075
Polysiloxanes,238,204,-0.36071299802703055,-0.989247311827957,-0.6666666666666666,270.65
Polysulfides,216,192,-0.4039190723518608,-0.9864864864864865,-0.6666666666666666,341.65
Other class,172,159,-0.03719684117249394,-0.9883720930232558,-0.5,515.55
Polycarbonates,160,131,-0.3643614621433747,-0.9782608695652174,-0.8333333333333334,410.325
Polyurethanes,123,116,-0.6107615580740263,-0.9857142857142858,-0.8571428571428571,335.15
Polyphosphazenes,107,89,-0.21812748304723628,-0.9912280701754386,-0.75,258.65
Polyphenylenes,104,71,0.024178563318112627,-0.9876543209876543,-0.5,395.15
Polyolefins,55,2,0.13715853329963723,-1.0,-0.5,267.15
Polydienes,41,4,0.16793989518014302,-0.9230769230769231,-0.5,293.15
Polyhalo-olefins,40,40,-0.19850477983274364,-0.9545454545454546,-0.5,336.8125
Polyureas,39,35,-0.3506035242228763,-0.9833333333333333,-0.8888888888888888,421.15
Polyanhydrides,28,24,0.0982673850127016,-0.9615384615384616,-0.8888888888888888,416.15
Polyketones,7,7,-0.7748062179181807,-0.972972972972973,-0.75,395.15
Polyethers,1,1,,-0.8571428571428571,-0.8571428571428571,201.5
