descriptor,source_column,n_rows_available,fraction_available
pmsbp_density,derived:step18_pmsbp_feature_table,7367,1.0
num_rotatable_bonds,fullpolymerlevel.features.num_rotatable_bonds_sum_fullpolymerfeaturizer,7367,1.0
num_rings,fullpolymerlevel.features.num_rings_sum_fullpolymerfeaturizer,7367,1.0
num_aromatic_rings,fullpolymerlevel.features.num_aromatic_rings_sum_fullpolymerfeaturizer,7367,1.0
molecular_weight,fullpolymerlevel.features.molecular_weight_sum_fullpolymerfeaturizer,7367,1.0
heteroatom_density,fullpolymerlevel.features.heteroatom_density_sum_fullpolymerfeaturizer,7367,1.0
topological_surface_area,fullpolymerlevel.features.topological_surface_area_sum_fullpolymerfeaturizer,7367,1.0
num_hbond_acceptors,fullpolymerlevel.features.num_hbond_acceptors_sum_fullpolymerfeaturizer,7367,1.0
num_hbond_donors,fullpolymerlevel.features.num_hbond_donors_sum_fullpolymerfeaturizer,7367,1.0
rotatable_per_mw,derived:num_rotatable_bonds/molecular_weight,7367,1.0
negative_rotatable_per_mw,derived:-num_rotatable_bonds/molecular_weight,7367,1.0
