descriptor,n_rows,n_polymer_classes,raw_spearman_rho,within_class_median_residual_spearman_rho,abs_within_class_residual_rho
negative_rotatable_per_mw,7367,22,0.7641295032587623,0.7028360779360622,0.7028360779360622
rotatable_per_mw,7367,22,-0.7641295032587623,-0.7028360779360622,0.7028360779360622
num_rings,7367,22,0.7506871829707082,0.5549478352172701,0.5549478352172701
num_aromatic_rings,7367,22,0.6982780849332438,0.5326125359573793,0.5326125359573793
num_rotatable_bonds,7367,22,-0.17809977797553603,-0.3238752161736721,0.3238752161736721
heteroatom_density,7367,22,-0.30454879900917087,-0.27021483563839627,0.27021483563839627
pmsbp_density,7367,22,-0.5315390888078491,-0.269476413921309,0.269476413921309
molecular_weight,7367,22,0.5028021188319846,0.254823384474859,0.254823384474859
num_hbond_donors,7367,22,0.15024229298648356,0.12070408269328896,0.12070408269328896
topological_surface_area,7367,22,0.3985085443654725,0.09591559448093438,0.09591559448093438
num_hbond_acceptors,7367,22,0.30590295555108155,0.03768505930542463,0.03768505930542463
