comparator,n_rows,spearman_rho_with_pmsbp,abs_spearman_with_pmsbp
molecular_weight,7367,-0.9801054611264118,0.9801054611264118
num_rings,7367,-0.8648894603509004,0.8648894603509004
num_aromatic_rings,7367,-0.8494666759736564,0.8494666759736564
num_hbond_acceptors,7367,-0.7507488730391669,0.7507488730391669
topological_surface_area,7367,-0.7323774549941539,0.7323774549941539
num_rotatable_bonds,7367,-0.5750368964113979,0.5750368964113979
heteroatom_density,7367,0.40580790489707047,0.40580790489707047
negative_rotatable_per_mw,7367,-0.3379226708705914,0.3379226708705914
rotatable_per_mw,7367,0.3379226708705914,0.3379226708705914
num_hbond_donors,7367,-0.16429105803058527,0.16429105803058527
