source,comparison,rho_msbp,rho_comparator,abs_rho_difference,diff_ci_low,diff_ci_high,paired_bootstrap_p_two_sided
Stage 10: tsaicying novel Tg subset,abs(rho MSBP density) - abs(rho ring density),0.7447871523592736,0.6600124562662174,0.08477469609305621,0.04954210840992683,0.119566503235949,0.000999000999000999
Stage 10: tsaicying novel Tg subset,abs(rho MSBP density) - abs(rho aromatic ring density),0.7447871523592736,0.6043150288439589,0.14047212351531468,0.09603645593837916,0.18820153574038936,0.000999000999000999
Stage 10: tsaicying novel Tg subset,abs(rho MSBP density) - abs(rho heteroatom density),0.7447871523592736,0.04282264813823231,0.7019645042210413,0.614981078919094,0.7634000365265668,0.000999000999000999
Stage 10: tsaicying novel Tg subset,abs(rho MSBP density) - abs(rho heavy atoms),0.7447871523592736,0.032974360886970706,0.7118127914723029,0.6260011521381655,0.7655791647022135,0.000999000999000999
Stage 11: NeurIPS released Tg-known test,abs(rho MSBP density) - abs(rho ring density),0.5509848772226069,0.5173351802381433,0.03364969698446363,-0.04117920678085728,0.10394170185961545,0.34065934065934067
Stage 11: NeurIPS released Tg-known test,abs(rho MSBP density) - abs(rho aromatic ring density),0.5509848772226069,0.4992889235097612,0.051695953712845744,-0.02642506158219679,0.1278178554223902,0.18081918081918083
Stage 11: NeurIPS released Tg-known test,abs(rho MSBP density) - abs(rho heteroatom density),0.5509848772226069,0.023161462717551616,0.5278234145050553,0.36249445803838864,0.6032386175640267,0.000999000999000999
Stage 11: NeurIPS released Tg-known test,abs(rho MSBP density) - abs(rho heavy atoms),0.5509848772226069,0.028596446816807453,0.5223884304057995,0.3471991294820579,0.6073733345214208,0.000999000999000999
Stage 13: Leeds PAEK novel subset,abs(rho MSBP density) - abs(rho ring density),0.8284126078896,0.5062470010696583,0.3221656068199418,0.1886115185359191,0.4739047088436634,0.000999000999000999
Stage 13: Leeds PAEK novel subset,abs(rho MSBP density) - abs(rho aromatic ring density),0.8284126078896,0.5062470010696583,0.3221656068199418,0.1886115185359191,0.4739047088436634,0.000999000999000999
Stage 13: Leeds PAEK novel subset,abs(rho MSBP density) - abs(rho heteroatom density),0.8284126078896,-0.32233031422229935,0.5060822936673006,0.313493155762326,0.717309457255814,0.000999000999000999
Stage 13: Leeds PAEK novel subset,abs(rho MSBP density) - abs(rho heavy atoms),0.8284126078896,-0.18769897209835068,0.6407136357912493,0.42895542779678425,0.8322377508322774,0.000999000999000999
